source,target,type,value
Blue Hydrogen,Hydrogen_Generation,Blue Hydrogen,0
Green Hydrogen,Hydrogen_Generation,Green Hydrogen,0.696397065
Pink Hydrogen,Hydrogen_Generation,Pink Hydrogen,0
Hydrogen_Generation,Road Transport,Road Transport,0.116882355
Hydrogen_Generation,Commercial,Commercial,0
Hydrogen_Generation,Industrial,Industrial,0
Hydrogen_Generation,Heating,Heating,0
Hydrogen_Generation,Excess,Excess,0.57951471
