source,target,type,value
Blue Hydrogen,Hydrogen_Generation,Blue Hydrogen,6.5
Green Hydrogen,Hydrogen_Generation,Green Hydrogen,31.50659665
Pink Hydrogen,Hydrogen_Generation,Pink Hydrogen,0
Hydrogen_Generation,Road Transport,Road Transport,0.359439824
Hydrogen_Generation,Residential,Residential,4.998660435
Hydrogen_Generation,Commercial,Commercial,2.053413523
Hydrogen_Generation,Industrial,Industrial,7.041223714
Hydrogen_Generation,Power Generation,Power Generation,1.1
Hydrogen_Generation,Rail,Rail,0
Hydrogen_Generation,Shipping,Shipping,0.5
Hydrogen_Generation,Blending,Blending,21.79581802
Hydrogen_Generation,Direct Air Carbon Capture and Storage,Direct Air Carbon Capture and Storage,0.006620429
Hydrogen_Generation,Transmission Losses,Transmission Losses,0.151420704
